#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
robmodcombat_balanced;Balanced war strategy;Stratégie de guerre équilibrée;Ausgewogene Kriegsstrategie;;Estrategia equilibrada de guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_balanced_desc;This character has opted for a balanced war strategy, conferring no benefits or penalties.;Ce personnage a opté pour une stratégie de guerre équilibrée, ne conférant aucun avantage ni pénalité.;Dieser Charakter hat sich für eine ausgewogene Kriegsstrategie entschieden, die keine Vorteile oder Strafen verleiht.;;Este personaje ha optado por una estrategia de guerra equilibrada, que no otorga beneficios ni sanciones.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attack;Assault war strategy;Stratégie de guerre d'assaut;Angriffskriegsstrategie;;Estrategia de guerra de asalto;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attack_desc;The artillery is readied, the garrisons left lightly armoured, and the men have been outfitted with heavy weaponry and drilled in the charge. This character clearly means to attack their opponents head on.;Les hommes ont été équipés d'armes lourdes, favorisant les cuirasses et les faunes sur l'armure arrière, et les moteurs de siège sont préparés. Ce personnage signifie clairement attaquer leurs adversaires en tête.;Die Männer sind mit schweren Waffen ausgestattet, begünstigen Kürassiere und Fappen über die Rückenpanzerung, und die Belagerungsmotoren sind vorbereitet. Dieser Charakter bedeutet eindeutig, um ihre Gegner anzugreifen.;;Los hombres han sido equipados con armamento pesado, favoreciendo las corazas y faulds sobre la armadura trasera, y los motores del asedio se preparan. Este personaje claramente significa atacar a sus oponentes de frente.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_defend;Defend war strategy;Stratégie de guerre défensive;Defensive Kriegsstrategie;;Estrategia de guerra defensiva;;;;;;;;;x;,,,,,,,,,,
robmodcombat_defend_desc;This character has called for trenches to be built, holdfasts to be made strong and men to stand fast. The enemy are most unwelcome on their land.;Ce personnage a ordonné que les holdfasts soient forts, que l'armure soit forgée d'épaisseur et que les hommes se tiennent debout. Les ennemis sont les plus indésirables sur leurs terres.;Dieser Charakter hat befohlen, dass die Festhalten stark gemacht werden, die Rüstung, um dick zu werden und die Männer schnell zu stehen. Der Feind ist auf ihrem Land am meisten unerwünscht.;;Este personaje ha ordenado que se hagan fuertes, que las armaduras sean forjadas y que los hombres se mantengan firmes. El enemigo no es bienvenido en su tierra.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_quick;Storm war strategy;Stratégie de guerre des tempêtes;Sturmkriegstrategie;;Estrategia de guerra de tormenta;;;;;;;;;x;,,,,,,,,,,
robmodcombat_quick_desc;Soldiers travel light and the quartermasters stock few provisions, but this is no enforced shortage. The men are equipped and drilled for one purpose: to stike deep into enemy heartlands in one crushing blow.;Les Warriors voyagent de la lumière et les quartermasters stockent peu de provisions, mais ce n'est pas une pénurie forcée. Les hommes sont équipés et forés dans un seul but: incliner profondément dans les champs de l'ennemi en un seul coup écrasant.;Krieger reisen Licht und die Quartiermeister haben nur wenige Bestimmungen, aber das ist kein erzwungener Mangel. Die Männer sind ausgerüstet und gebohrt für einen Zweck: tief in feindliche Herzfälle in einem zerquetschenden Schlag zu treten.;;Los guerreros viajan ligeros y los quartermasters almacenan pocas provisiones, pero esto no es una escasez forzada. Los hombres están equipados y perforados para un propósito: penetrar profundamente en las tierras enemigas en un golpe aplastante.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attrition;Organised war strategy;Stratégie de guerre organisée;Organisierte Kriegsstrategie;;Estrategia de guerra organizada;;;;;;;;;x;,,,,,,,,,,
robmodcombat_attrition_desc;This character has focussed their war efforts on supply logistics and siege readiness, in preparation for a war of attrition.;Ce personnage a concentré ses efforts de guerre sur la logistique de l'approvisionnement et la préparation au siège, en prévision d'une guerre d'attrition.;Dieser Charakter hat sich auf die Kriegsbemühungen auf die Angebotslogistik und die Belagerungsbereitschaft konzentriert, um einen Abrisskrieg vorzubereiten.;;Este personaje ha centrado sus esfuerzos de guerra en la logística de suministro y la preparación para el asedio, en preparación para una guerra de desgaste.;;;;;;;;;x;,,,,,,,,,,
### DECISIONS ###
robmodcombat_battlefield_position_first;Select your battlefield position;Sélectionnez votre position de champ de bataille;Wähle deine Schlachtfeldposition;;Seleccione su campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_first_desc;Although all rulers are expected to put their lives at risk by fighting with their men, there are many different positions one can take on the battlefield. Each holds different levels of risk and prestige.;Bien que tous les dirigeants puissent mettre leur vie en danger en se battant avec leurs hommes, il existe de nombreuses positions différentes sur le champ de bataille. Chacun détient différents niveaux de risque et de prestige.;Obwohl alle Herrscher erwartet werden, ihr Leben in Gefahr zu setzen, indem sie mit ihren Männern kämpfen, gibt es viele verschiedene Positionen, die man auf dem Schlachtfeld nehmen kann. Jeder hält unterschiedliche Risiko und Prestige.;;Aunque se espera que todos los gobernantes pongan en peligro sus vidas luchando con sus hombres, hay muchas posiciones diferentes que uno puede tomar en el campo de batalla. Cada uno tiene diferentes niveles de riesgo y prestigio.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_position_cooldown_tt;Has not been forced to change battlefield position in the last 5 years;N'a pas été contraint de changer la position du champ de bataille au cours des 5 dernières années.;In den letzten 5 Jahren ist es nicht gezwungen worden, die Schlachtfeldposition zu ändern.;;No se ha visto obligado a cambiar de posición en el campo de batalla en los últimos 5 años.;;;;;;;;;x;,,,,,,,,,,
set_battlefield_position_tt;Call in your commanders and notify them as to what position you will be taking up on the battlefield;Appelez vos commandants et informez-les de la position que vous occuperez sur le champ de bataille;Rufen Sie Ihre Kommandanten an und benachrichtigen Sie, welche Position Sie auf dem Schlachtfeld nehmen werden;;Llame a sus comandantes y notifíqueles en cuanto a qué posición usted tomará en el campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_change;Change your battlefield position;Changez votre position de champ de bataille;Ändern Sie Ihre Schlachtfeldposition;;Cambia tu posición en el campo de batalla;;;;;;;;;x;,,,,,,,,,,
robmodcombat_battlefield_position_change_desc;You may change your position on the battlefield any time you are at war. Useful if for any reason you want to protect yourself from harm, or conversely improve your chances of gaining glory on the battlefield.;Vous pouvez changer votre position sur le champ de bataille à tout moment. Utile si, pour quelque raison que ce soit, vous voulez vous protéger du mal ou, à l'inverse, améliorer vos chances de gagner la gloire sur le champ de bataille.;Sie können jederzeit Ihre Position auf dem Schlachtfeld ändern. Nützlich, wenn aus irgendeinem Grund du dich vor Schaden schützen willst, oder umgekehrt deine Chancen auf den Ruhm auf dem Schlachtfeld zu verbessern.;;Usted puede cambiar su posición en el campo de batalla en cualquier momento. Útil si por cualquier razón usted quiere protegerse de daño, o por el contrario mejorar sus posibilidades de ganar gloria en el campo de batalla.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy;Set your war strategy;Définissez votre stratégie de guerre;Setze deine Kriegsstrategie ein;;Defina su estrategia de guerra;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_desc;Defining your war strategy outfits your troops and other military apparatus to best suit your current situation. The various options will confer certain benefits to your armies, but each also has drawbacks.;Vous pouvez changer votre stratégie de guerre pour mieux répondre à votre situation actuelle. Les différentes options conféreront certains avantages à vos armées, mais elles présentent également des inconvénients.;Sie können Ihre Kriegsstrategie ändern, um Ihrer aktuellen Situation am besten zu entsprechen. Die verschiedenen Optionen verleihen Ihren Armeen gewisse Vorteile, aber jeder hat auch Nachteile.;;Puede cambiar su estrategia de guerra para que se adapte mejor a su situación actual. Las diversas opciones confieren ciertos beneficios a sus ejércitos, pero cada uno también tiene inconvenientes.;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_cooldown_tt;Has NOT changed war stategy in the last year;N'a PAS changé la stratégie de guerre au cours de la dernière année;Hat im letzten Jahr die Kriegsstrategie nicht geändert;;NO ha cambiado la estrategia de guerra en el último año;;;;;;;;;x;,,,,,,,,,,
robmodcombat_war_strategy_liege_tt;Has NOT had your current war strategy set by your liege;N'a PAS eu votre stratégie de guerre fixée par votre liege;Hatte NICHT Ihre Kriegsstrategie von deinem Lied gesetzt;;NO ha tenido su estrategia de guerra establecida por su señor;;;;;;;;;x;,,,,,,,,,,
set_war_strategy_tt;Call in your commanders to discuss the war strategy;Appelez vos commandants pour discuter de la stratégie de guerre;Rufen Sie in Ihren Kommandanten auf, um die Kriegsstrategie zu besprechen;;Llame a sus comandantes para discutir la estrategia de guerra;;;;;;;;;x;,,,,,,,,,,
### NICKNAMES ###
nick_the_warrior;the Warrior;le Guerrier;der Krieger;;el Guerrero;;;;;x
nick_swordarm;Sword-Arm;Bras à l'Épée;Schwertarm;;Brazo de Espada;;;;;x
nick_weakarm;Weak-Arm;Bras Faible;Schwacharm;;Brazo Débil;;;;;x
nick_the_leader;War-Leader;Chef de Guerre;Kriegsführer;;Líder de Guerra;;;;;x
nick_the_afraid;the Coward;le Lâche;der Feigling;;el cobarde;;;;;x
nick_the_timid;the Timid;le Timide;die Schüchterne;;el Tímido;;;;;x
### MODIFIERS ###
# CHARACTER #
robmodcombat_inspired_men;Inspirational charge;Charge inspiratoire;Inspirationsgebühr;;Carga inspiradora;;;;;;;;;x,,,,,,,,,,
EVTOPTA_ROBMODCOMBAT_10001;I am truly a great warrior!;Je suis vraiment un grand guerrier!;Ich bin wirklich ein großer Krieger!;;¡Soy realmente un gran guerrero!;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_10005;Today's battle against [FromFrom.GetTitledName]'s men has been fierce and bloody, and your commander [From.GetTitledFirstName] has been on the front-line throughout. Countless men have fallen to [From.GetHerHis] blade, and as men shall speak of [From.GetFirstName]'s deeds on the battlefield today for a long time to come.;La bataille d'aujourd'hui contre les hommes de [FromFrom.GetTitledName] a été féroce et sanglante, et votre commandant [From.GetTitledFirstName] a été sur la ligne de front tout au long. D'innombrables hommes sont tombés dans la lame [From.GetHerHis], et comme les hommes doivent parler des faits de [From.GetFirstName] sur le champ de bataille aujourd'hui pour un long moment à venir.;Der heutige Kampf gegen [Männer von [FromFrom.GetTitledName] ist heftig und blutig gewesen, und dein Kommandant [From.GetTitledFirstName] war überall auf der Front. Unzählige Männer sind in die Klinge gefallen, und wie die Menschen von den Worten von [From.GetFirstName] auf dem Schlachtfeld sprechen werden, für eine lange Zeit zu kommen.;;La batalla de hoy contra los hombres de [FromFrom.GetTitledName] ha sido feroz y sangrienta, y tu comandante [From.GetTitledFirstName] ha estado en primera línea. Innumerables hombres han caído a su hoja, y como los hombres hablarán de las obras de [From.GetFirstName] en el campo de batalla hoy por un largo tiempo por venir.;;;;;;;;;x
EVTOPTA_ROBMODCOMBAT_10005;"You have served me well, [From.GetFirstName]";"Vous m'avez bien servi, [From.GetFirstName]";"Du hast mir gut gedient, [From.GetFirstName]";;"Me has servido bien, [From.GetFirstName]";;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_10002;Today's battle against [From.GetTitledName] has not been your finest hour: you have failed to take the life of a single enemy troop. At one point you became surrounded by enemy troops and death or capture was only averted by the bravery and skill of your personal guard. As the day draws to a close, you know your poor performance has cost you a great deal of respect.;La bataille d'aujourd'hui contre [From.GetTitledName] n'a pas été votre meilleure heure: vous n'avez pas réussi à prendre la vie d'une seule troupe ennemie. À un moment donné, vous deveniez entouré de troupes ennemies, et la mort ou la capture n'était que détournée par la bravoure et l'habileté de votre garde personnelle. À la fin de la journée, vous savez que votre mauvaise performance vous a coûté beaucoup de respect.;Der heutige Kampf gegen [From.GetTitledName] ist nicht deine schönste Stunde gewesen: Du hast es versäumt, das Leben einer einzigen feindlichen Truppe zu nehmen. An einem Punkt wurden Sie von feindlichen Truppen umgeben und der Tod oder die Erfassung wurde nur durch die Tapferkeit und Geschick Ihrer persönlichen Wache abgewendet. Als der Tag zu Ende geht, wissen Sie, dass Ihre schlechte Leistung Sie viel Respekt gekostet hat.;;La batalla de hoy contra [From.GetTitledName] no ha sido tu mejor momento: has fallado en quitarte la vida a una sola tropa enemiga. En un momento te has rodeado de tropas enemigas y la muerte o la captura sólo se evitó por la valentía y la habilidad de tu guardia personal. A medida que el día llega a su fin, usted sabe que su pobre rendimiento le ha costado mucho respeto.;;;;;;;;;x
EVTOPTA_ROBMODCOMBAT_10002;My men won't even meet my eye.;Mes hommes ne rencontreront même pas mon attention.;Meine Männer werden mir nicht einmal begegnen.;;Mis hombres ni siquiera mirarán a mis ojos.;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_10006;After the day of battle against [FromFrom.GetTitledName], word reaches you of your commander [From.GetTitledFirstName]'s poor performance on the battle-field. They say he failed to kill a single enemy troop, and [From.GetHerHis] inadequate swordsmanship has cost [From.GetHerHim] a great deal of respect.;Après le jour de la bataille contre [FromFrom.GetTitledName], le mot vous connaît de la mauvaise performance de [From.GetTitledFirstName] sur le champ de bataille. Ils disent qu'il a échoué à tuer une seule troupe ennemie, et [From.GetHerHis] la fausse espadennité a coûté beaucoup de respect à [From.GetHerHim].;Nach dem Tag des Kampfes gegen [FromFrom.GetTitledName], das Wort erreicht Sie von [From.GetTitledFirstName] 's schlechte Leistung auf dem Schlachtfeld. Sie sagen, dass er es versäumt hat, eine einzige feindliche Truppe zu töten, und [From.GetHerHis] schlechte Schwertkämpfe hat [From.GetHerHim] viel Respekt gekostet.;;Después del día de la batalla contra [FromFrom.GetTitledName], la palabra te alcanza del mal desempeño de [From.GetTitledFirstName] en el campo de batalla. Dicen que fracasó en matar a una sola tropa enemiga, y que la desdichada mala espada le ha costado mucho.;;;;;;;;;x
EVTOPTA_ROBMODCOMBAT_10006;I should never have put that [GetRootFromInsult] in command!;Je ne devrais jamais avoir mis [GetRootFromInsult] en commande!;Ich hätte niemals [From.GetFirstName] in Befehl!;;Yo nunca debería haber puesto que [GetRootFromInsult] en el mando!;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_10003;The sound of trumpets blare as you lead another charge against [From.GetTitledName]'s men. "Men, to me! To me!" you cry, the battle-lust upon you. All day you have been leading your men so, with ne'er a thought for your own safety. Your actions this day will be spoken of throughout the [Root.PrimaryTitle.GetFullBaseName].;Le son des trompettes brille alors que vous dirigez une autre charge contre les hommes de [From.GetTitledName]. "Hommes, à moi! Pour moi!" Vous pleurez, la lutte contre la convoitise sur vous. Toute la journée, vous avez mené vos hommes, sans penser à votre propre sécurité. Vos actions de ce jour seront parlées tout au long du [Root.PrimaryTitle.GetFullBaseName].;Der Klang der Trompeten schlägt, als Sie eine weitere Anklage gegen [From.GetTitledName] 's Männer führen. "Männer, zu mir, zu mir!" Sie weinen, die Schlacht-Lust auf Sie. Den ganzen Tag hast du deine Männer so geführt, mit einem Gedanken zu deiner eigenen Sicherheit. Ihre Handlungen an diesem Tag werden in der ganzen [Root.PrimaryTitle.GetFullBaseName] gesprochen.;;El sonido de las trompetas resuena al dirigir otra carga contra los hombres de [From.GetTitledName]. ¡Hombres, a mí! ¡A mí! Lloras, la lujuria sobre ti. Durante todo el día has estado guiando a tus hombres así, sin pensar en tu propia seguridad. Sus acciones de este día se hablan en todo el [Root.PrimaryTitle.GetFullBaseName].;;;;;;;;;x
EVTOPTA_ROBMODCOMBAT_10003;I am an inspiration to all!;Je suis une source d'inspiration pour tous!;Ich bin eine Inspiration für alle!;;¡Soy una inspiración para todos!;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_10007;Word reaches you of your commander [From.GetTitledFirstName]'s inspiring leadership in battle against [FromFrom.GetTitledName]. They say [From.GetSheHe] led charge after charge against the enemy with ne'er a thought for [From.GetHerHis] own safety, and now men flock to [From.GetHerHis] banner.;Tales vous rappelle de votre chef d'orchestre [From.GetTitledFirstName] en lutte contre [FromFrom.GetTitledName]. Ils disent [From.GetSheHe] la charge dirigée après la charge contre l'ennemi avec une pensée pour [From.GetHerHis] sa propre sécurité, et maintenant les hommes affluent à la bannière [From.GetHerHis].;Geschichten erreichen Sie von Ihrem Kommandanten [From.GetTitledFirstName] 's inspirierende Führung im Kampf gegen [FromFrom.GetTitledName]. Sie sagen, dass sie nach dem Vorwurf gegen den Feind mit einem Gedanken an [From.GetHerHis] eigene Sicherheit, und jetzt Männer strömen zu [From.GetHerHis] Banner.;;Los cuentos te alcanzan de tu liderazgo inspirador [From.GetTitledFirstName] en la batalla contra [FromFrom.GetTitledName]. Dicen que [From.GetSheHe] dirigió cargo tras carga contra el enemigo con ne'er un pensamiento para [From.GetHerHis] propia seguridad, y ahora los hombres acuden a [From.GetHerHis] banner.;;;;;;;;;x
EVTOPTA_ROBMODCOMBAT_10007;I knew [From.GetSheHe] would do me proud.;Je savais que [From.GetSheHe] me ferait fier.;Ich wusste [From.GetSheHe] würde mich stolz machen;;Yo sabía que [From.GetSheHe] me haría sentir orgulloso.;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_10004;The noise! The terrible sounds of battle! Men screaming in agony, the indiscriminate fall of arrows - you are bewildered and terrified. The sight of an enraged enemy soldier running at you is the last straw, and you turn tale and run. Although the day ends with your men still fighting, your actions this day have brought shame upon you.;Le bruit! Les sons terribles de la bataille! Des hommes criant d'agonie, la chute indiscriminée de flèches, vous êtes déconcerté et terrifié. La vue d'un soldat ennemi ennemi qui coule à vous est la dernière goutte, et vous tournez le conte et courez. Bien que le jour se termine avec vos hommes toujours en train de se battre, vos actions ce jour vous ont fait honte.;Der Lärm! Die schrecklichen Klänge der Schlacht! Männer schreien vor Schmerzen, der wahllose Pfeilabfall - du bist verwirrt und erschrocken. Der Anblick eines wütenden feindlichen Soldaten, der bei dir läuft, ist das letzte Strohhalm, und du machst Geschichte und laufe. Obwohl der Tag endet mit deinen Männern, die noch kämpfen, haben deine Handlungen diesen Tag Schande über dich gebracht.;;¡El ruido! ¡Los terribles sonidos de la batalla! Hombres gritando en agonía, la caída indiscriminada de flechas - estás desconcertado y aterrorizado. La visión de un soldado enemigo enfurecido corriendo hacia ti es la última gota, y te vuelves la historia y corren. Aunque el día termina con sus hombres todavía luchando, sus acciones este día han traído vergüenza sobre usted.;;;;;;;;;x
EVTOPTA_ROBMODCOMBAT_10004;Their morale is shattered.;Leur moral est brisé.;Ihre Moral ist zerschmettert.;;Su moral está destrozada.;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_10008;Word reaches you of your commander [From.GetTitledFirstName]'s cowardly retreat in battle against [FromFrom.GetTitledName]. They say [From.GetSheHe] ran away from danger, and now no-one wants to fight for [From.GetHerHim].;Le mot vous arrive de votre combattant [From.GetTitledFirstName] dans la lutte contre [FromFrom.GetTitledName]. Ils disent que [From.GetSheHe] s'est enfui du danger, et maintenant, personne ne veut se battre pour [From.GetHerHim].;Wort erreicht dich von deinem Kommandanten [From.GetTitledFirstName] 's feigen Rückzug im Kampf gegen [FromFrom.GetTitledName]. Sie sagen, dass es von der Gefahr weggelaufen ist, und jetzt will niemand für [From.GetHerHim] kämpfen.;;La palabra llega a usted de su retirada cobarde de su comandante [From.GetTitledFirstName] en la batalla contra [FromFrom.GetTitledName]. Dicen que [From.GetSheHe] huyó del peligro, y ahora nadie quiere pelear por [From.GetHerHim].;;;;;;;;;x
EVTOPTA_ROBMODCOMBAT_10008;That useless coward!;Ce lâche inutile!;Der nutzlose Feigling!;;¡Ese inútil cobarde!;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_10009;You are on the frontline of the battle against [From.GetTitledFirstName]'s men, when you spot [From.GetFirstName] [From.GetHerHim]self fighting alongside [From.GetHerHis] vanguard! Your eyes meet with the enemy across the field, and men part so that you may fight one another as true nobles. Now is the time to prove your valour!;Vous êtes en première ligne de la bataille contre les hommes de [From.GetTitledFirstName], lorsque vous trouvez [From.GetFirstName] [From.GetHerHim] auto-combat à côté de [From.GetHerHis] avant-garde! Vos yeux rencontrent l'ennemi sur le terrain, et les hommes se séparent pour que vous puissiez entrer dans un combat personnel. C'est le moment de prouver votre valeur!;Sie sind an der Front des Kampfes gegen Männer aus dem Mann, wenn Sie vor G. Deine Augen treffen sich mit dem Feind über das Feld, und Männer teilen sich, damit du in den persönlichen Kampf eintreten kannst. Jetzt ist die Zeit, deine Tapferkeit zu beweisen!;;Estás en la primera línea de la batalla contra los hombres de [From.GetTitledFirstName], cuando observas a [From.GetFirstName] [From.GetHerHim] luchando contra la vanguardia [From.GetHerHis]! Sus ojos se encuentran con el enemigo a través del campo, y los hombres parte para que pueda entrar en combate personal. Ahora es el momento de probar su valor!;;;;;;;;;x
EVTOPTA_ROBMODCOMBAT_10009;"We meet on the battlefield at last, [From.GetFirstName]!";Maintenant, nous découvrons qui est le plus grand guerrier.;Jetzt finden wir heraus, wer der größere Krieger ist.;;Ahora descubrimos quién es el mayor guerrero.;;;;;;;;;x,,,,,,,,,,
EVTTOOLTIPA_ROBMODCOMBAT_10009;Enter into personal combat with [From.GetFirstName]. Your chances of winning are affected by your Personal Combat attribute compared to theirs, with the winner killing their foe or (more likely) taking them prisoner;Entrez dans un combat personnel avec [From.GetFirstName]. Vos chances de gagner sont affectées par votre attribut Personal Combat comparativement à la leur, avec le gagnant en train de tuer leur ennemi ou (plus probablement) de les prendre prisonniers;Gehen Sie in den persönlichen Kampf mit [From.GetFirstName]. Ihre Gewinnchancen sind von Ihrem persönlichen Kampfattribut im Vergleich zu ihnen betroffen, mit dem Sieger, der ihren Feind tötet oder (wahrscheinlicher) sie gefangen genommen hat;;Ingresa en combate personal con [From.GetFirstName]. Sus posibilidades de ganar son afectadas por su atributo Personal Combat comparado con el suyo, con el ganador matando a su enemigo o (más probablemente) haciéndolos prisioneros;;;;;;;;;x,,,,,,,,,,
EVTOPTB_ROBMODCOMBAT_10009;Charge at [From.GetHerHim] with the fury of the brave.;Chargez à [From.GetHerHim] avec la fureur des braves.;Aufladen bei [From.GetHerHim] mit der Wut der Mutigen.;;Carga en [From.GetHerHim] con la furia de los valientes.;;;;;;;;;x,,,,,,,,,,
EVTOPTC_ROBMODCOMBAT_10009;I will not risk my life on such vainglorious folly.;Je ne risquerais pas ma vie d'une folie si vaillante.;Ich werde mein Leben nicht auf solch Torheit riskieren.;;No arriesgaré mi vida con una locura tan voraz.;;;;;;;;;x,,,,,,,,,,
EVTTOOLTIPC_ROBMODCOMBAT_10009;Find a subtle way to escape personal combat. Hardly a valiant course of action, but certainly the safest;Trouvez une manière subtile d'échapper au combat personnel. À peine une action courageuse, mais certainement la plus sûre;Finden Sie einen subtilen Weg, um persönlichen Kampf zu entkommen. Kaum ein tapferer Vorgang, aber sicher der sicherste;;Encuentre una manera sutil de escapar del combate personal. Apenas un curso de acción valiente, pero ciertamente el más seguro;;;;;;;;;x,,,,,,,,,,
EVTOPTD_ROBMODCOMBAT_10009;I... I can't!;Je... Je ne peux pas!;Ich... ich kann nicht!;;Yo... no puedo!;;;;;;;;;x,,,,,,,,,,
EVTTOOLTIPD_ROBMODCOMBAT_10009;Flee!;Fuir!;Fliehen!;;¡Huir!;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODCOMBAT_10011;You are certain [From.GetTitledFirstName] recognised you as you ran towards [From.GetHerHim] with your sword drawn. But instead of meeting you like a true warrior, [From.GetSheHe] instead pretended not to have noticed and led [From.GetHerHis] men the other way! You lose [From.GetHerHim] in the commotion and are robbed of your chance of personal combat.;Vous êtes certain [From.GetTitledFirstName] vous avez reconnu que vous avez couru vers [From.GetHerHim] avec votre épée dessinée. Mais au lieu de vous rencontrer comme un vrai guerrier, [From.GetSheHe] a plutôt fait semblant de ne pas avoir remarqué et mené [From.GetHerHis] les hommes dans l'autre sens! Vous perdez [From.GetHerHim] dans l'agitation et vous êtes dépouillé de vos chances de combat personnel.;Sie sind sicher [Von.GetTitledFirstName] erkannt Sie, wie Sie in Richtung [From.GetHerHim] mit Ihrem Schwert gezogen lief. Aber anstatt dich wie ein wahrer Krieger zu treffen, gab es stattdessen vor, nicht zu bemerken und führte [From.GetHerHis] Männer den anderen Weg! Sie verlieren [From.GetHerHim] in der Aufregung und sind beraubt von Ihrer Chance auf persönlichen Kampf.;;Estás seguro de que [From.GetTitledFirstName] te reconoció mientras corrías hacia [From.GetHerHim] con la espada dibujada. Pero en lugar de encontrarte como un verdadero guerrero, [From.GetSheHe] fingió no haber notado y conducido a [From.GetHerHis] hombres al otro lado! Usted pierde [From.GetHerHim] en la conmoción y se les roba su oportunidad de combate personal.;;;;;;;;;x
EVTDESC_ROBMODCOMBAT_10011_CRAVEN;You are certain [From.GetTitledFirstName] recognised you as your eyes met on the battlefield. But instead of challenging you as one would expect, [From.GetSheHe] instead pretended not to have noticed and led [From.GetHerHis] men the other way.;Vous êtes certain que [From.GetTitledFirstName] vous a reconnu lorsque vos yeux se sont rencontrés sur le champ de bataille. Mais au lieu de vous remettre en question comme on s'attendrait, [From.GetSheHe] a plutôt fait semblant de ne pas avoir remarqué et mené [From.GetHerHis] les hommes dans l'autre sens.;Sie sind sicher [From.GetTitledFirstName] erkannte Sie, wie Ihre Augen auf dem Schlachtfeld trafen. Aber anstatt dich herauszufordern, wie man es erwarten würde, gab es stattdessen vor, nicht zu bemerken und führte [From.GetHerHis] Männer den anderen Weg.;;Estás seguro de que [From.GetTitledFirstName] te reconoció como tus ojos se encontraron en el campo de batalla. Pero en lugar de desafiarle como uno podría esperar, [From.GetSheHe] en su lugar pretendió no haber notado y llevado a [From.GetHerHis] hombres a la inversa.;;;;;;;;;x
EVTOPTA_ROBMODCOMBAT_10011;What a coward!;Quel lâche!;Was für ein Feigling!;;¡Qué cobarde!;;;;;;;;;x,,,,,,,,,,
EVTOPTB_ROBMODCOMBAT_10011;Thank [Root.Religion.GetRandomGodName] - this battle is dangerous enough!;Merci [Root.Religion.GetRandomGodName] - cette bataille est assez dangereuse!;Danke [Root.Religion.GetRandomGodName] - diese Schlacht ist gefährlich genug!;;Gracias [Root.Religion.GetRandomGodName] - esta batalla es lo suficientemente peligrosa!;;;;;;;;;x,,,,,,,,,,
