ca_wall_q_1;Regional Fortifications;;;x
ca_wall_q_2;Regional Fortifications;;;x
ca_wall_q_3;Regional Fortifications;;;x
ca_wall_q_4;Regional Fortifications;;;x
ca_wall_q_5;Regional Fortifications;;;x
ca_wall_q_1_desc;Fortifications used to slow down a besieging army.;;;x
ca_wall_1;Administrative Building;;;x
ca_wall_2;Administrative Building;;;x
ca_wall_3;Government Complex;;;x
ca_wall_4;Government Complex;;;x
ca_wall_5;Government Complex;;;x
ca_wall_1_desc;A center used to handle all government functions of a country.;;;x
ca_keep_1;Military Base;;;x
ca_keep_2;Military Base;;;x
ca_keep_3;Military Base;;;x
ca_keep_4;Military Base;;;x
ca_keep_5;Military Base;;;x
ca_keep_6;Military Base;;;x
ca_keep_1_desc;Base used to foster coordination between the different branches of the armed forces.;;;x
ca_training_grounds_1_desc;A field used to test your latest weapons and give your soldiers valuable training.;;;x
ca_barracks_1_desc;A facility used to house and train soldiers.;;;x
ca_stable_1;Tank Factory;;;x
ca_stable_2;Tank Factory;;;x
ca_stable_3;Tank Factory;;;x
ca_stable_4;Tank Factory;;;x
ca_stable_5;Tank Factory;;;x
ca_stable_6;Tank Manufactory;;;x
ca_stable_1_desc;A factory to build and develop armor units.;;;x
ca_town_1;Small Town;;;x
ca_town_2;Town;;;x
ca_town_3;Large Town;;;x
ca_town_4;City;;;x
ca_town_5;Large City;;;x
ca_town_6;Megacity;;;x
ca_town_1_desc;Towns are generally larger than villages and smaller than cities, though the criteria to distinguish between them vary considerably in different parts of the world;;;x
ca_town_2_desc;An urban area of greater size, population, and importance than a town or village.;;;x
ca_artillery_1;Artillery Factory;;;x
ca_artillery_2;Artillery Factory;;;x
ca_artillery_3;Artillery Manufactory;;;x
ca_artillery_1_desc;A factory to build and develop artillery units.;;;x
ca_shipyard_1;Naval Shipyard;;;x
ca_shipyard_2;Naval Shipyard;;;x
ca_shipyard_3;Naval Shipyard;;;x
ca_shipyard_4;Naval Port;;;x
shipyard_desc;A port to develop, build, and dock ships for your navy.;;;x

ca_russian_artillery;Soviet Artillery Factory;;;x
ca_russian_artillery_desc;A factory to build artillery guns and shells.;;;x

#Tribal (Developing)

tb_hillfort_1;Political Center;;;x
tb_hillfort_1_desc;Where all government power is centralized.;;;x
tb_hillfort_2;Political Center;;;x
tb_hillfort_2_desc;A complex body that helps administrate the country.;;;x
tb_hillfort_3;Complex Government Infrastructure;;;x
tb_hillfort_4;Complex Government Infrastructure;;;x

tb_shipyard_1;Naval Shipyard;;;x
tb_shipyard_2;Naval Shipyard;;;x
tb_shipyard_3;Naval Shipyard;;;x
tb_shipyard_4;Naval Port;;;x
shipyard_desc;A port to develop, build, and dock ships for your navy.;;;x

tb_training_grounds_1;Militia Training Facility;;;x
tb_training_grounds_2;Militia Training Facility;;;x
tb_training_grounds_3;Militia Training Facility;;;x
tb_training_grounds_4;Militia Training Facility;;;x
tb_training_grounds_desc;A facility to teach young men the basics of armed combat.;;;x

tb_war_camp_1;Militia Barracks;;x
tb_war_camp_2;Militia Barracks;;x
tb_war_camp_3;Militia Barracks;;x
tb_war_camp_4;Militia Barracks;;x
tb_war_camp_desc;Base used to house and train the military and local militias.;;;x

tb_practice_range_1;Practice Range;;;x
tb_practice_range_2;Practice Range;;;x
tb_practice_range_3;Practice Range;;;x
tb_practice_range_4;Practice Range;;;x
tb_practice_range_desc;A field used to train troops on their accuracy.;;;x

tb_steppe_barracks_1;Militia Barracks;;x
tb_steppe_barracks_2;Militia Barracks;;x
tb_steppe_barracks_3;Militia Barracks;;x
tb_steppe_barracks_4;Militia Barracks;;x
ca_steppe_barracks_desc;Base used to house and train the military and local militias.;;;x

tb_steppe_stable_1;Armor Factory;;;x
tb_steppe_stable_2;Armor Factory;;;x
tb_steppe_stable_3;Armor Factory;;;x
tb_steppe_stable_4;Armor Factory;;;x
ca_steppe_stable_desc;A factory to build and develop armor units.;;;x

tb_arsenal_1;Arms Storage;;;x
tb_arsenal_2;Arms Storage;;;x
tb_arsenal_3;Arms Storage;;;x
tb_arsenal_4;Arms Storage;;;x
tb_arsenal_desc;A site to store weapons.;;;x

tb_desert_stable_1;Armor Factory;;;x
tb_desert_stable_2;Armor Factory;;;x
tb_desert_stable_3;Armor Factory;;;x
tb_desert_stable_4;Armor Factory;;;x
tb_desert_stable_desc;A factory to build and develop armor units.;;;x


POLI_WILL;Political Will;;;;x
STAT_PIETY_POLI_WILL;Political Will;;;;x
STAT_PIETY_MENU_POLI_WILL;Political Will;;;x
STAT_PIETY_DESC_POLI_WILL;Political will is defined as "the extent of committed support among key decision makers for a particular policy solution to a particular problem." It is also considered by political scientist Linn Hammergren to be "the slipperiest concept in the policy lexicon.";;;x

#Israel
provoke_hamas;Provoke Hamas;;;x
provoke_hamas_desc;Try to provoke Hamas into attacking you and give you a reason to go to war.;;;x
provoking_conflict;Provoking Conflict;;;x
demand_justice;Citizens Demanding Justice;;;x
palestine_war;Liberate Palestine;;;x
CB_NAME_FREE_PALESTINE;Free Palestine!;;;;;;;;;;;;;x
WAR_NAME_FREE_PALESTINE;$ORDER$ $FIRST_ADJ$ Liberation of Palestine;;;;;;;;;;;;;x
palestine_war_desc;So-called 'Israelis' occupy the sacred land of Palestine. Inshallah, we will drive them back to the sea and take our land back!;;;;;;;;;;;;;x
b_darum;Gaza;;;x

israel_war;Invade Gaza Strip;;;x
CB_NAME_PUNISH_PALESTINE;Anti-Hamas Operation;;;x
WAR_NAME_PUNISH_PALESTINE;;$ORDER$ $FIRST_ADJ$ Invasion of the Gaza Strip;;;;;;;;;;;;;x


EVTDESCisrael_hamas.0;The Gaza Strip has been an obstacle for many years. However, in order to enact your plans you need Hamas to attack you first to justify your next move. Mossad agents have been tasked with starting this provocation...;;;x
EVTOPTAisrael_hamas.0;And now we wait...;;;x

EVTDESCisrael_hamas.1;In a move totally surprising to everyone, Hamas has launched an attack and declared war on the State of Israel! You must now lead the country to victory.;;;x
EVTOPTAisrael_hamas.1;Let the games truly begin!;;;x

EVTDESCisrael_hamas.2;Hamas has decided to launch rockets at Israel in retaliation for your provocations. Fortunately, the Iron Dome destroyed most of them. Your people call for restraint rather than revenge.;;;x
EVTOPTAisrael_hamas.2;They will pay for this in due time...;;;x

EVTDESCconvert;Hamas has been defeated and now it is up to you to decide the fate of the Gaza Strip and its people. What will you do?;;;x
EVTOPTAconvert;Imprison their leaders and destroy the infrastructure;;;x
conv1;Arrest the leader of Hamas and leave the Gaza Strip in ruins for the forseeable future.;;;x
EVTOPTBconvert;Annex the Strip and expel the Palestinians;;;x
conv2;Annex the Gaza Strip and forcibly remove the Palestinian residents, giving Israeli settlers free reign to take the land.;;;x
EVTOPTCconvert;Take the land and people;;;x
conv3;Annex the Gaza Strip and make the residents official Israeli Citizens.;;;x
EVTOPTDconvert;Give Gaza to the Palestinian Authority;;;x 
conv4;Place the Gaza Strip under the administration of the Palestinian Authority. The residents may not like it but that will no longer be your problem.;;;x
EVTOPTEconvert;Remove Hamas and leave the Strip;;;x
conv5;Dismantle Hamas as a political force and leave the Gaza Strip.;;;x
settlement_punish;This settlement has been destroyed and left in ruins;;;x
sinocide_gaza;War Criminal;;;x

EVTDESCiron_century.1;Prosperity cannot reach all corners of your country. Young men, disenfranchised from the state and radicalized by religion, have decided to take up arms against you and all that is good.;;;x
EVTAiron_century.1;We don't negotiate with terrorists!;;;x

EVTDESCiron_century.2;Your country is at war and you need help! Despite the intense generational suffering brought to your people by the state of France, you have few options when it comes to allies and they are willing to aid you...for a price.;;;x
EVTAiron_century.2;Actually, let's not.;;;x
EVTBiron_century.2;Oui Oui! Sovereignty be damned!;;;x

EVTDESCiron_century.3;Russia has invaded Ukraine in an attempt to annex some of its territory. With your help, Ukraine may be able to fend the Russians off. Will you offer your men up to help?;;x
EVTAiron_century.3;"Slava Ukraini!";;;x
EVTBiron_century.3;This is not our war.;;;x
EVTCiron_century.3;We will provide weapons and training.;;;x
Ukrhelp;Rather than join the war yourself, offer weapons and training to Ukrainian soldiers to fight Russia.;;;x

EVTDESCiron_century.4;The Collective Security Treaty Organization is an intergovernmental military alliance in Eurasia consisting of six post-Soviet states: Armenia, Belarus, Kazakhstan, Kyrgyzstan, Russia, and Tajikistan.;;;x
EVTBiron_century.4;Glory to Russia!;;;x
EVTDESCiron_century.5
iron_century.5;World War Two;;;x
EVTDESCiron_century.5;The Nazi Regime of Germany has declared a war to eradicate your people and claim your territory for the German people. The battle ahead seems daunting, but you have allies that you can ask for help.;;;x
EVTOPTAiron_century.5;Britain and France will help me!;;;x
EVTOPTBiron_century.5;We will do this alone.;;;;x


csto;Collective Security Treaty;;;x
TRIBUTARY_CSTO;Collective Security Treaty;;;x
TRIBUTARY_CSTO_PLURAL;Puppet States;;;x
ca_rail_network;Rail Network;;;x
ca_rail_network_desc;A network of railroads used to hasten the movement of goods and people.;;;x
ca_intl_airport;International Airport;;;x
ca_intl_airport_desc;An airport to facilitate travel and trade to other countries.;;;x

tribal_government;Developing;;;x
tribal_government_desc;A developing country is a sovereign state with a lesser developed industrial base and a lower Human Development Index relative to other countries.;;;x
feudal_government;Developed;;;x
feudal_government_desc;A highly-developed industrialized, technologically-advanced, educated, and wealthy country.;;;x
feudal_governments_desc;A highly-developed industrialized, technologically-advanced, educated, and wealthy country.;;;x

LOADING_TIP_0;'Money was never a big motivation for me, except as a way to keep score. The real excitement is playing the game.' - Donald Trump;;;x
LOADING_TIP_1;'Anyone who doesn't regret the passing of the Soviet Union has no heart. Anyone who wants it restored has no brain.' - Vladimir Putin;;;x
LOADING_TIP_2;'Russia is a part of European culture. Therefore, it is with difficulty that I imagine NATO as an enemy.' - Vladimir Putin;;;;x
LOADING_TIP_3;'Sometimes by losing a battle you find a new way to win the war.' - Donald Trump;;;;x
LOADING_TIP_4;'Change will not come if we wait for some other person some other time. We are the ones we've been waiting for. We are the change that we seek.' - Barack Obama;;;;x
LOADING_TIP_5;'I mean, I do think at a certain point you've made enough money.' - Barack Obama;;;;x
LOADING_TIP_6;'When politics is no longer a mission but a profession, politicians become more self-serving than public servants.' - Emmanuel Macron;;;x
LOADING_TIP_7;'I think when people have pudding and jobs, they vote for you.' - Emmanuel Macron;;;;x
LOADING_TIP_8;'The situation is under control.' - Idriss Deby;;;x
LOADING_TIP_9;'My friends, as I have discovered myself, there are no disasters, only opportunities. And, indeed, opportunities for fresh disasters.' - Boris Johnson;;;;x
LOADING_TIP_10;'The Italians, who used to be a great motor-manufacturing power, have been absolutely destroyed by the euro - as was intended by the Germans.' - Boris Johnson;;;x
LOADING_TIP_11;'I have more in common with a three-toed sloth or a one-eyed pterodactyl or a Kalamata olive than I have with Winston Churchill.' - Boris Johnson;;;x
LOADING_TIP_12;'I'm undaunted in my quest to amuse myself by constantly changing my hair.' - Hillary Clinton;;;x
LOADING_TIP_13;'Our policy is very simple. The Jewish state was set up to defend Jewish lives, and we always reserve the right to defend ourselves.' - Benjamin Netanyahu;;;x
LOADING_TIP_14;'Peace is purchased from strength. It's not purchased from weakness or unilateral retreats.' - Benjamin Netanyahu;;;x
LOADING_TIP_15;'We want Israel as a democratic and Jewish state. So you have to maintain a Jewish majority, and you want to do that by legal means, by democratic means.' - Benjamin Netanyahu;;;x
LOADING_TIP_16;'Those who do not love me do not deserve to live.' - Muammar al-Gaddafi;;;x
LOADING_TIP_17;'I do not support peace in the Middle East. And I do not support Arafat. He is a stupid, incompetent fool!' - Muammar al-Gaddafi;;;x
LOADING_TIP_18;'I have sworn to only live free. Even if I find bitter the taste of death, I don't want to die humiliated or deceived.' - Osama bin Laden;;;x
LOADING_TIP_19;'Jihad will continue even if I am not around.' - Osama bin Laden;;;x
LOADING_TIP_20;'Let me tell you what I literally told every world leader I've met with, and I've met them all: It's never, never, never been a good bet to bet against America. We have the finest fighting force in the world.' - Joe Biden;;;x
LOADING_TIP_21;'We are America, second to none, and we own the finish line. Don't forget it.' - Joe Biden;;;x
LOADING_TIP_22;'Terrorism is you winning hearts and minds of people.' - Imran Khan;;;x
LOADING_TIP_23;'Personally I don't think solving corruption is such a big problem.' - Imran Khan;;;x
LOADING_TIP_24;'People don't really believe in words. Or rather, people believe in words only for a stretch of time. Then they start to look for action.' - Volodymyr Zelenskyy;;;x
LOADING_TIP_25;'I would never want Ukraine to be a piece on the map, on the chessboard of big global players, so that someone could toss us around, use us as cover, as part of some bargain.' - Volodymyr Zelenskyy;;;x
LOADING_TIP_25;'I don't carry the burden of the past or the madness of the future. I live in the present.' - Narendra Modi;;;x
LOADING_TIP_26;'India does not need to become anything else. India must become only India. This is a country that once upon a time was called the golden bird.' - Narendra Modi;;;x
LOADING_TIP_27;'I can say that out of 365 days, I manage to do yoga on at least 300 days.' - Narendra Modi;;;x
LOADING_TIP_28;'Success is the sole earthly judge of right and wrong.' - Adolf Hiter;;;x
LOADING_TIP_29;'The victor will never be asked if he told the truth.' - Adolf Hitler;;;x
LOADING_TIP_30;'It is always more difficult to fight against faith than against knowledge.' - Adolf Hitler;;;x
LOADING_TIP_31;'Any alliance whose purpose is not the intention to wage war is senseless and useless.' - Adolf Hitler;;;x
LOADING_TIP_32;'Nobody in Europe will be abandoned. Nobody in Europe will be excluded. Europe only succeeds if we work together.' - Angela Merkel;;;x
LOADING_TIP_33;'Hatred, racism, and extremism have no place in this country.' - Angela Merkel;;;x
LOADING_TIP_34;'Do not worship me, I am not God. I'm only a man. I worship Jesus Christ.' - Haile Selassie;;;x
LOADING_TIP_35;'We have finished the job, what shall we do with the tools?' - Haile Selassie;;;x
LOADING_TIP_36;'Peace is a day-to-day problem, the product of a multitude of events and judgments. Peace is not an 'is,' it is a 'becoming.'' - Haile Selassie;;;x
LOADING_TIP_37;'Women make up one half of society. Our society will remain backward and in chains unless its women are liberated, enlightened and educated.' - Saddam Hussein;;;x
LOADING_TIP_38;'I just didn't believe Bush' - Saddam Hussein;;;x
LOADING_TIP_39;'Whoever tries to climb over our fence, we will try to climb over his house.' - Saddam Hussein;;;x
LOADING_TIP_40;'The most important thing about marriage is that the man must not let the woman feel downtrodden simply because she is a woman and he is a man.' - Saddam Hussein;;x
LOADING_TIP_41;'I know that there are scores of people plotting to kill me, and this is not difficult to understand. After all, did we not seize power by plotting against our predecessors? However, I am far cleverer than they are.' - Saddam Hussein;;;x
LOADING_TIP_42;'Palestine is Arab and must be liberated from the river to the sea and all the Zionists who emigrated to the land of Palestine must leave.' - Saddam Hussein;;;x
LOADING_TIP_43;'Promising too much can be as cruel as caring too little.' - Bill Clinton;;;x
LOADING_TIP_44;'Being president is like running a cemetery: you've got a lot of people under you and nobody's listening.' - Bill Clinton;;;x
LOADING_TIP_45;'Part of our essential humanity is paying respect to what God gave us and what will be here a long time after we're gone.' - Bill Clinton;;;x
LOADING_TIP_46;'The 22nd Amendment should probably be modified to say two consecutive terms instead of two terms for a lifetime.' - Bill Clinton;;;x
LOADING_TIP_47;'I trust no one, not even myself.' - Joseph Stalin;;;x
LOADING_TIP_48;'Ideas are more powerful than guns. We would not let our enemies have guns, why should we let them have ideas?' - Joseph Stalin;;;x
LOADING_TIP_49;'Death is the solution to all problems. No man - no problem.' - Joseph Stalin;;;x
LOADING_TIP_50;'When we hang the capitalists they will sell us the rope we use.' - Joseph Stalin;;;x
LOADING_TIP_51;'If you're going through hell, keep going.' - Winston Churchill;;;x
LOADING_TIP_52;'You have enemies? Good. That means you've stood up for something, sometime in your life.' - Winston Churchill;;;x
LOADING_TIP_53;'To improve is to change, to be perfect is to change often.' - Winston Churchill;;;x
LOADING_TIP_54;'Enjoy the game.' - Roy;;;x














